model_name,graph_id,oap_method,oap_params,device_type,cores,batch_size,load_time,exec_time,warmup_time,input_size
stable-diffusion,1,LATENCY_OAP,10.0-3,cuda,1,1,0.6136457920074463,0.016031503677368164,0.008734464645385742,90513408
stable-diffusion,2,LATENCY_OAP,10.0-3,cuda,1,1,0.1289827823638916,0.03914642333984375,0.385425329208374,503273472
stable-diffusion,0,PARAM_OAP,4,cpu,16,1,0.29818105697631836,0.0,0.0,324537602
stable-diffusion,1,PARAM_OAP,4,cpu,16,1,0.2811751365661621,0.0,0.0,35308544
stable-diffusion,2,PARAM_OAP,4,cpu,16,1,0.1433563232421875,0.0,0.0,32765952
stable-diffusion,3,PARAM_OAP,4,cpu,16,1,0.6143736839294434,0.0,0.0,549620736
stable-diffusion,0,PARAM_OAP,4,cuda,1,1,0.21165823936462402,0.024417638778686523,0.00047516822814941406,324537602
stable-diffusion,1,PARAM_OAP,4,cuda,1,1,0.09889459609985352,0.008656978607177734,0.0004303455352783203,35308544
stable-diffusion,2,PARAM_OAP,4,cuda,1,1,0.04443192481994629,0.004912376403808594,0.0003249645233154297,32765952
stable-diffusion,3,PARAM_OAP,4,cuda,1,1,0.16244983673095703,0.0433812141418457,0.37206435203552246,549620736
stable-diffusion,0,TIME_OAP,4,cpu,16,1,2.2497565746307373,0.0,0.0,306522370
stable-diffusion,1,TIME_OAP,4,cpu,16,1,5.054348707199097,0.0,0.0,80186368
stable-diffusion,2,TIME_OAP,4,cpu,16,1,3.2270822525024414,0.0,0.0,218362880
stable-diffusion,3,TIME_OAP,4,cpu,16,1,1.6162004470825195,0.0,0.0,337161216
stable-diffusion,0,TIME_OAP,4,cuda,1,1,0.5296132564544678,0.02212667465209961,0.0031235218048095703,306522370
stable-diffusion,1,TIME_OAP,4,cuda,1,1,0.5490469932556152,0.013993978500366211,0.005883455276489258,80186368
stable-diffusion,2,TIME_OAP,4,cuda,1,1,0.5694398880004883,0.01847052574157715,0.00047707557678222656,218362880
stable-diffusion,3,TIME_OAP,4,cuda,1,1,0.1559586524963379,0.026284217834472656,0.0003962516784667969,337161216
stable-diffusion,0,ME_OAP,10.0-1,cpu,16,1,11.74306035041809,0.0,0.0,942232834
stable-diffusion,0,ME_OAP,10.0-1,cuda,1,1,1.1247169971466064,0.08181881904602051,-0.0003802776336669922,942232834
llama2-7b,0,LATENCY_OAP,10.0-8,cpu,16,1,7.3904008865356445,1.4485585689544678,0.1884157657623291,16384
llama2-7b,1,LATENCY_OAP,10.0-8,cpu,16,1,7.749910831451416,1.2230603694915771,0.2504310607910156,27271168
llama2-7b,2,LATENCY_OAP,10.0-8,cpu,16,1,9.830671072006226,1.2430205345153809,0.2570836544036865,27271168
llama2-7b,3,LATENCY_OAP,10.0-8,cpu,16,1,9.755055904388428,1.1713669300079346,0.6506340503692627,27271168
llama2-7b,4,LATENCY_OAP,10.0-8,cpu,16,1,9.707853555679321,1.3556129932403564,0.49679088592529297,27271168
llama2-7b,5,LATENCY_OAP,10.0-8,cpu,16,1,9.64978313446045,1.2785956859588623,0.8444168567657471,27271168
llama2-7b,6,LATENCY_OAP,10.0-8,cpu,16,1,9.74054479598999,1.1676063537597656,0.928645133972168,27271168
llama2-7b,7,LATENCY_OAP,10.0-8,cpu,16,1,9.700274467468262,1.1800432205200195,0.9166696071624756,27271168
llama2-7b,0,LATENCY_OAP,10.0-8,cuda,1,1,5.406482458114624,0.03115081787109375,2.575272798538208,16384
llama2-7b,1,LATENCY_OAP,10.0-8,cuda,1,1,5.350121974945068,0.030223846435546875,0.2818300724029541,18882560
llama2-7b,2,LATENCY_OAP,10.0-8,cuda,1,1,5.590815782546997,0.030115365982055664,0.1739656925201416,18882560
llama2-7b,3,LATENCY_OAP,10.0-8,cuda,1,1,5.517597913742065,0.030185699462890625,0.144240140914917,18882560
llama2-7b,4,LATENCY_OAP,10.0-8,cuda,1,1,3.184980630874634,0.030209779739379883,0.003014802932739258,18882560
llama2-7b,5,LATENCY_OAP,10.0-8,cuda,1,1,4.567262649536133,0.030158281326293945,0.0003600120544433594,18882560
llama2-7b,6,LATENCY_OAP,10.0-8,cuda,1,1,4.736504077911377,0.030160188674926758,0.2938969135284424,18882560
llama2-7b,7,LATENCY_OAP,10.0-8,cuda,1,1,4.86938738822937,0.030335187911987305,0.13101768493652344,18882560
llama2-7b,0,PARAM_OAP,8,cpu,16,1,7.9355998039245605,0.9912216663360596,0.036731719970703125,16384
llama2-7b,1,PARAM_OAP,8,cpu,16,1,8.764483213424683,1.2129786014556885,0.012383460998535156,27271224
llama2-7b,2,PARAM_OAP,8,cpu,16,1,9.03501009941101,1.2673282623291016,-0.029766082763671875,35659832
llama2-7b,3,PARAM_OAP,8,cpu,16,1,8.821616411209106,1.2740838527679443,-0.011395692825317383,18882560
llama2-7b,4,PARAM_OAP,8,cpu,16,1,9.26686406135559,1.2842721939086914,0.09897017478942871,27271168
llama2-7b,5,PARAM_OAP,8,cpu,16,1,9.153690099716187,1.239630937576294,0.19855022430419922,41426944
llama2-7b,6,PARAM_OAP,8,cpu,16,1,9.328435182571411,1.2430455684661865,0.18960309028625488,33038336
llama2-7b,7,PARAM_OAP,8,cpu,16,1,8.671510934829712,1.2507927417755127,0.04396867752075195,27271168
llama2-7b,0,PARAM_OAP,8,cuda,1,1,2.827104091644287,0.023693084716796875,0.1357123851776123,16384
llama2-7b,1,PARAM_OAP,8,cuda,1,1,5.28706169128418,0.030690908432006836,0.4148373603820801,27271224
llama2-7b,2,PARAM_OAP,8,cuda,1,1,6.132976770401001,0.033601999282836914,0.42916178703308105,35659832
llama2-7b,3,PARAM_OAP,8,cuda,1,1,3.77087664604187,0.030874013900756836,0.3979167938232422,18882560
llama2-7b,4,PARAM_OAP,8,cuda,1,1,4.082920789718628,0.031225204467773438,-0.11656069755554199,18882560
llama2-7b,5,PARAM_OAP,8,cuda,1,1,3.7400102615356445,0.03133440017700195,0.4209630489349365,41426944
llama2-7b,6,PARAM_OAP,8,cuda,1,1,2.834303140640259,0.03146076202392578,0.2727549076080322,33038336
llama2-7b,7,PARAM_OAP,8,cuda,1,1,3.512049674987793,0.03035879135131836,0.2852973937988281,18882560
llama2-7b,0,TIME_OAP,8,cpu,16,1,8.088569402694702,0.9866561889648438,0.015921831130981445,16384
llama2-7b,1,TIME_OAP,8,cpu,16,1,8.502511262893677,1.1785624027252197,-0.010953664779663086,35659832
llama2-7b,2,TIME_OAP,8,cpu,16,1,8.664224624633789,1.2150397300720215,0.011554479598999023,35659832
llama2-7b,3,TIME_OAP,8,cpu,16,1,8.819434642791748,1.2713241577148438,0.11593794822692871,18882560
llama2-7b,4,TIME_OAP,8,cpu,16,1,9.007292985916138,1.3215656280517578,0.17597341537475586,27271168
llama2-7b,5,TIME_OAP,8,cpu,16,1,8.93515658378601,1.285902738571167,0.14255809783935547,41426944
llama2-7b,6,TIME_OAP,8,cpu,16,1,9.07004714012146,1.3335161209106445,0.20425629615783691,33038336
llama2-7b,7,TIME_OAP,8,cpu,16,1,8.661962985992432,1.3001384735107422,0.10690188407897949,27271168
llama2-7b,0,TIME_OAP,8,cuda,1,1,3.2201576232910156,0.024492740631103516,-0.29782652854919434,16384
llama2-7b,1,TIME_OAP,8,cuda,1,1,5.346706867218018,0.03039836883544922,0.2868187427520752,35659832
llama2-7b,2,TIME_OAP,8,cuda,1,1,5.062653303146362,0.03352832794189453,0.4743618965148926,35659832
llama2-7b,3,TIME_OAP,8,cuda,1,1,5.441540479660034,0.03096461296081543,0.5721390247344971,18882560
llama2-7b,4,TIME_OAP,8,cuda,1,1,3.6408965587615967,0.031291961669921875,0.11060285568237305,18882560
llama2-7b,5,TIME_OAP,8,cuda,1,1,3.262336492538452,0.03126120567321777,0.0010821819305419922,41426944
llama2-7b,6,TIME_OAP,8,cuda,1,1,3.4231042861938477,0.03150296211242676,0.4155161380767822,33038336
llama2-7b,7,TIME_OAP,8,cuda,1,1,5.362372875213623,0.0304412841796875,0.28078222274780273,18882560
llama2-7b,0,ME_OAP,10.0-4,cpu,16,1,7.390859842300415,2.64320707321167,0.01712942123413086,16384
llama2-7b,1,ME_OAP,10.0-4,cpu,16,1,1.2190635204315186,1.022535800933838,0.6675624847412109,27271168
llama2-7b,2,ME_OAP,10.0-4,cpu,16,1,2.4921321868896484,3.2386090755462646,1.017460584640503,27271168
llama2-7b,3,ME_OAP,10.0-4,cpu,16,1,3.117544651031494,3.6527609825134277,0.8364346027374268,18882560
